"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"            Margin of Error","±9.8","(X)","±14.8","","±14.8","±39.0","±17.6","±22.6","±100.0","**","**","±100.0","**","**","**","**","**","**","**","**","","±5.1","(X)","±9.9","±9.9","±100.0"
"ZCTA5 78721","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,532","7,158","3,374","","3,071","618","2,076","377","203","0","181","22","79","0","79","0","21","0","11","10","","7,795","6,058","1,737","1,505","232"
"        Margin of Error","±912","±865","±669","","±647","±285","±482","±166","±123","±22","±119","±32","±49","±22","±49","±22","±23","±22","±17","±16","","±692","±659","±376","±355","±110"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","68.0%","32.0%","","29.2%","5.9%","19.7%","3.6%","1.9%","0.0%","1.7%","0.2%","0.8%","0.0%","0.8%","0.0%","0.2%","0.0%","0.1%","0.1%","","(X)","77.7%","22.3%","19.3%","3.0%"
"        Margin of Error","(X)","±5.7","±5.7","","±5.7","±2.6","±4.4","±1.6","±1.1","±0.4","±1.1","±0.3","±0.5","±0.4","±0.5","±0.4","±0.2","±0.4","±0.2","±0.1","","(X)","±4.5","±4.5","±4.4","±1.4"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9,381","(X)","2,223","","1,943","507","1,226","210","203","0","181","22","67","0","67","0","10","0","0","10","","7,491","(X)","1,433","1,213","220"
"            Margin of Error","±948","(X)","±481","","±456","±272","±307","±136","±123","±22","±119","±32","±41","±22","±41","±22","±16","±22","±22","±16","","±703","(X)","±340","±318","±107"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.1%","(X)","65.9%","","63.3%","82.0%","59.1%","55.7%","100.0%","-","100.0%","100.0%","84.8%","-","84.8%","-","47.6%","-","0.0%","100.0%","","96.1%","(X)","82.5%","80.6%","94.8%"
"            Margin of Error","±3.4","(X)","±7.1","","±7.7","±10.1","±10.1","±21.9","±19.7","**","±21.8","±74.4","±19.5","**","±19.5","**","±52.4","**","±100.0","±100.0","","±1.6","(X)","±6.4","±7.4","±8.1"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,151","(X)","1,151","","1,128","111","850","167","0","0","0","0","12","0","12","0","11","0","11","0","","304","(X)","304","292","12"
"            Margin of Error","±348","(X)","±348","","±349","±52","±320","±95","±22","±22","±22","±22","±18","±22","±18","±22","±17","±22","±17","±22","","±124","(X)","±124","±124","±18"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.9%","(X)","34.1%","","36.7%","18.0%","40.9%","44.3%","0.0%","-","0.0%","0.0%","15.2%","-","15.2%","-","52.4%","-","100.0%","0.0%","","3.9%","(X)","17.5%","19.4%","5.2%"
"            Margin of Error","±3.4","(X)","±7.1","","±7.7","±10.1","±10.1","±21.9","±19.7","**","±21.8","±74.4","±19.5","**","±19.5","**","±52.4","**","±100.0","±100.0","","±1.6","(X)","±6.4","±7.4","±8.1"
"ZCTA5 78722","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,374","5,513","861","","661","25","552","84","71","0","66","5","129","0","129","0","0","0","0","0","","5,654","5,017","637","521","116"
"        Margin of Error","±551","±501","±266","","±254","±28","±209","±61","±56","±20","±51","±15","±83","±20","±83","±20","±20","±20","±20","±20","","±519","±481","±238","±223","±83"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","86.5%","13.5%","","10.4%","0.4%","8.7%","1.3%","1.1%","0.0%","1.0%","0.1%","2.0%","0.0%","2.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","(X)","88.7%","11.3%","9.2%","2.1%"
"        Margin of Error","(X)","±3.9","±3.9","","±3.8","±0.4","±3.1","±0.9","±0.9","±0.7","±0.8","±0.2","±1.3","±0.7","±1.3","±0.7","±0.7","±0.7","±0.7","±0.7","","(X)","±4.0","±4.0","±3.8","±1.4"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,202","(X)","689","","520","23","436","61","54","0","54","0","115","0","115","0","0","0","0","0","","5,578","(X)","561","445","116"
"            Margin of Error","±544","(X)","±216","","±192","±27","±147","±61","±47","±20","±47","±20","±81","±20","±81","±20","±20","±20","±20","±20","","±511","(X)","±199","±179","±83"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","97.3%","(X)","80.0%","","78.7%","92.0%","79.0%","72.6%","76.1%","-","81.8%","0.0%","89.1%","-","89.1%","-","-","-","-","-","","98.7%","(X)","88.1%","85.4%","100.0%"
"            Margin of Error","±1.5","(X)","±8.3","","±9.5","±15.2","±11.7","±32.4","±27.2","**","±27.9","±100.0","±18.3","**","±18.3","**","**","**","**","**","","±1.0","(X)","±6.9","±7.7","±31.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","172","(X)","172","","141","2","116","23","17","0","12","5","14","0","14","0","0","0","0","0","","76","(X)","76","76","0"
"            Margin of Error","±96","(X)","±96","","±94","±3","±94","±20","±23","±20","±20","±15","±22","±20","±22","±20","±20","±20","±20","±20","","±59","(X)","±59","±59","±20"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.7%","(X)","20.0%","","21.3%","8.0%","21.0%","27.4%","23.9%","-","18.2%","100.0%","10.9%","-","10.9%","-","-","-","-","-","","1.3%","(X)","11.9%","14.6%","0.0%"
"            Margin of Error","±1.5","(X)","±8.3","","±9.5","±15.2","±11.7","±32.4","±27.2","**","±27.9","±100.0","±18.3","**","±18.3","**","**","**","**","**","","±1.0","(X)","±6.9","±7.7","±31.0"
"ZCTA5 78723","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,595","23,633","10,962","","9,867","2,414","6,926","527","352","39","222","91","543","78","454","11","200","28","139","33","","24,688","20,269","4,419","3,900","519"
"        Margin of Error","±1,891","±1,511","±1,355","","±1,360","±606","±1,003","±162","±136","±37","±78","±92","±247","±74","±187","±18","±135","±42","±94","±52","","±1,269","±1,228","±630","±610","±126"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","68.3%","31.7%","","28.5%","7.0%","20.0%","1.5%","1.0%","0.1%","0.6%","0.3%","1.6%","0.2%","1.3%","0.0%","0.6%","0.1%","0.4%","0.1%","","(X)","82.1%","17.9%","15.8%","2.1%"
"        Margin of Error","(X)","±3.2","±3.2","","±3.3","±1.6","±2.5","±0.5","±0.4","±0.1","±0.2","±0.3","±0.7","±0.2","±0.5","±0.1","±0.4","±0.1","±0.3","±0.1","","(X)","±2.4","±2.4","±2.4","±0.5"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","30,174","(X)","6,541","","5,842","1,852","3,700","290","291","24","193","74","288","52","236","0","120","0","120","0","","23,969","(X)","3,700","3,254","446"
"            Margin of Error","±1,712","(X)","±1,036","","±1,023","±505","±781","±106","±112","±23","±79","±88","±98","±41","±85","±30","±91","±30","±91","±30","","±1,279","(X)","±633","±614","±118"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","87.2%","(X)","59.7%","","59.2%","76.7%","53.4%","55.0%","82.7%","61.5%","86.9%","81.3%","53.0%","66.7%","52.0%","0.0%","60.0%","0.0%","86.3%","0.0%","","97.1%","(X)","83.7%","83.4%","85.9%"
"            Margin of Error","±2.0","(X)","±5.3","","±5.8","±8.2","±7.3","±16.5","±14.6","±50.1","±13.7","±36.2","±17.3","±21.6","±20.0","±100.0","±29.6","±65.9","±21.6","±60.7","","±0.9","(X)","±5.3","±5.8","±9.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,421","(X)","4,421","","4,025","562","3,226","237","61","15","29","17","255","26","218","11","80","28","19","33","","719","(X)","719","646","73"
"            Margin of Error","±758","(X)","±758","","±764","±242","±640","±124","±62","±29","±30","±27","±192","±36","±160","±18","±82","±42","±28","±52","","±227","(X)","±227","±219","±50"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12.8%","(X)","40.3%","","40.8%","23.3%","46.6%","45.0%","17.3%","38.5%","13.1%","18.7%","47.0%","33.3%","48.0%","100.0%","40.0%","100.0%","13.7%","100.0%","","2.9%","(X)","16.3%","16.6%","14.1%"
"            Margin of Error","±2.0","(X)","±5.3","","±5.8","±8.2","±7.3","±16.5","±14.6","±50.1","±13.7","±36.2","±17.3","±21.6","±20.0","±100.0","±29.6","±65.9","±21.6","±60.7","","±0.9","(X)","±5.3","±5.8","±9.0"
"ZCTA5 78724","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,608","9,812","12,796","","12,536","3,989","8,239","308","25","0","25","0","55","16","39","0","180","0","111","69","","11,067","7,434","3,633","3,514","119"
"        Margin of Error","±1,959","±1,157","±1,664","","±1,651","±746","±1,124","±128","±29","±26","±29","±26","±52","±23","±33","±26","±193","±26","±94","±112","","±1,115","±844","±690","±690","±81"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","43.4%","56.6%","","55.4%","17.6%","36.4%","1.4%","0.1%","0.0%","0.1%","0.0%","0.2%","0.1%","0.2%","0.0%","0.8%","0.0%","0.5%","0.3%","","(X)","67.2%","32.8%","31.8%","1.1%"
"        Margin of Error","(X)","±4.5","±4.5","","±4.5","±2.6","±3.5","±0.6","±0.1","±0.2","±0.1","±0.2","±0.2","±0.1","±0.1","±0.2","±0.8","±0.2","±0.4","±0.5","","(X)","±4.8","±4.8","±4.8","±0.7"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16,086","(X)","6,274","","6,186","3,117","2,992","77","6","0","6","0","55","16","39","0","27","0","27","0","","9,769","(X)","2,335","2,280","55"
"            Margin of Error","±1,542","(X)","±1,065","","±1,075","±748","±649","±59","±9","±26","±9","±26","±52","±23","±33","±26","±27","±26","±27","±26","","±1,075","(X)","±647","±648","±44"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","71.2%","(X)","49.0%","","49.3%","78.1%","36.3%","25.0%","24.0%","-","24.0%","-","100.0%","100.0%","100.0%","-","15.0%","-","24.3%","0.0%","","88.3%","(X)","64.3%","64.9%","46.2%"
"            Margin of Error","±3.1","(X)","±4.3","","±4.4","±7.8","±5.6","±16.7","±31.8","**","±31.8","**","±47.1","±87.2","±55.9","**","±27.9","**","±32.4","±42.0","","±3.3","(X)","±10.2","±10.4","±45.6"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,522","(X)","6,522","","6,350","872","5,247","231","19","0","19","0","0","0","0","0","153","0","84","69","","1,298","(X)","1,298","1,234","64"
"            Margin of Error","±921","(X)","±921","","±905","±295","±808","±109","±25","±26","±25","±26","±26","±26","±26","±26","±199","±26","±97","±112","","±382","(X)","±382","±373","±87"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","28.8%","(X)","51.0%","","50.7%","21.9%","63.7%","75.0%","76.0%","-","76.0%","-","0.0%","0.0%","0.0%","-","85.0%","-","75.7%","100.0%","","11.7%","(X)","35.7%","35.1%","53.8%"
"            Margin of Error","±3.1","(X)","±4.3","","±4.4","±7.8","±5.6","±16.7","±31.8","**","±31.8","**","±47.1","±87.2","±55.9","**","±27.9","**","±32.4","±42.0","","±3.3","(X)","±10.2","±10.4","±45.6"
"ZCTA5 78725","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,791","4,308","3,483","","3,317","867","2,269","181","68","0","68","0","45","0","29","16","53","0","53","0","","5,345","3,801","1,544","1,442","102"
"        Margin of Error","±944","±921","±991","","±1,005","±390","±713","±105","±84","±20","±84","±20","±40","±20","±32","±26","±73","±20","±73","±20","","±831","±842","±446","±444","±86"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","55.3%","44.7%","","42.6%","11.1%","29.1%","2.3%","0.9%","0.0%","0.9%","0.0%","0.6%","0.0%","0.4%","0.2%","0.7%","0.0%","0.7%","0.0%","","(X)","71.1%","28.9%","27.0%","1.9%"
"        Margin of Error","(X)","±10.7","±10.7","","±10.9","±4.6","±7.9","±1.3","±1.1","±0.6","±1.1","±0.6","±0.5","±0.6","±0.4","±0.3","±0.9","±0.6","±0.9","±0.6","","(X)","±8.4","±8.4","±8.3","±1.6"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
