"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.9%","6.2%","17.3%","25.2%","9.2%","20.3%","23.4%","21.4%","13.5%","17.9%","17.0%","18.6%","(X)","11.6%","(X)","10.8%","(X)","21.7%","(X)","26.5%","(X)","46.9%","(X)","21.3%","(X)","8.2%","(X)","10.4%","(X)","28.6%","(X)","36.9%","(X)","22.4%"
"        Margin of Error","±5.7","±7.0","±8.4","±21.2","±7.9","±15.5","±19.9","±8.0","±11.3","±7.0","±14.1","±9.6","(X)","±11.7","(X)","±8.7","(X)","±14.5","(X)","±23.2","(X)","±36.5","(X)","±14.4","(X)","±6.8","(X)","±9.4","(X)","±12.3","(X)","±25.9","(X)","±16.3"
"ZCTA5 78703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,828","401","2,467","190","734","930","613","666","1,294","1,960","1,386","574","494","302","876","876","1,142","1,132","475","474","329","324","549","241","4,301","985","11,474","494","878","481","558","361","320","120"
"        Margin of Error","±588","±136","±357","±80","±179","±214","±227","±276","±230","±369","±318","±181","±146","±108","±180","±180","±226","±227","±202","±202","±222","±222","±211","±109","±764","±227","±955","±156","±313","±252","±260","±223","±134","±65"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.3%","51.1%","3.9%","15.2%","19.3%","12.7%","13.8%","26.8%","40.6%","47.4%","30.2%","(X)","61.1%","(X)","100.0%","(X)","99.1%","(X)","99.8%","(X)","98.5%","(X)","43.9%","(X)","22.9%","(X)","4.3%","(X)","54.8%","(X)","64.7%","(X)","37.5%"
"        Margin of Error","(X)","±2.9","±4.9","±1.7","±3.8","±4.2","±3.8","±4.5","±4.6","±4.6","±6.4","±8.1","(X)","±16.3","(X)","±5.0","(X)","±1.4","(X)","±0.6","(X)","±3.7","(X)","±14.8","(X)","±5.2","(X)","±1.3","(X)","±14.8","(X)","±18.4","(X)","±18.3"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","38","1,519","75","483","489","472","592","1,182","1,774","1,242","532","(X)","23","(X)","457","(X)","635","(X)","382","(X)","277","(X)","207","(X)","938","(X)","412","(X)","424","(X)","311","(X)","113"
"        Margin of Error","(X)","±31","±300","±52","±159","±149","±213","±264","±228","±361","±312","±182","(X)","±19","(X)","±138","(X)","±184","(X)","±195","(X)","±219","(X)","±83","(X)","±229","(X)","±153","(X)","±240","(X)","±210","(X)","±64"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69.0%","9.5%","61.6%","39.5%","65.8%","52.6%","77.0%","88.9%","91.3%","90.5%","89.6%","92.7%","(X)","7.6%","(X)","52.2%","(X)","56.1%","(X)","80.6%","(X)","85.5%","(X)","85.9%","(X)","95.2%","(X)","83.4%","(X)","88.1%","(X)","86.1%","(X)","94.2%"
"        Margin of Error","±5.8","±8.0","±9.0","±29.1","±13.6","±13.0","±13.8","±7.2","±5.2","±4.0","±5.0","±6.5","(X)","±6.8","(X)","±12.3","(X)","±13.0","(X)","±12.9","(X)","±16.3","(X)","±12.4","(X)","±3.7","(X)","±11.0","(X)","±9.6","(X)","±13.0","(X)","±9.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","363","948","115","251","441","141","74","112","186","144","42","(X)","279","(X)","419","(X)","497","(X)","92","(X)","47","(X)","34","(X)","47","(X)","82","(X)","57","(X)","50","(X)","7"
"        Margin of Error","(X)","±133","±272","±82","±113","±170","±84","±48","±68","±77","±69","±36","(X)","±107","(X)","±142","(X)","±185","(X)","±55","(X)","±39","(X)","±40","(X)","±34","(X)","±55","(X)","±46","(X)","±45","(X)","±11"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31.0%","90.5%","38.4%","60.5%","34.2%","47.4%","23.0%","11.1%","8.7%","9.5%","10.4%","7.3%","(X)","92.4%","(X)","47.8%","(X)","43.9%","(X)","19.4%","(X)","14.5%","(X)","14.1%","(X)","4.8%","(X)","16.6%","(X)","11.9%","(X)","13.9%","(X)","5.8%"
"        Margin of Error","±5.8","±8.0","±9.0","±29.1","±13.6","±13.0","±13.8","±7.2","±5.2","±4.0","±5.0","±6.5","(X)","±6.8","(X)","±12.3","(X)","±13.0","(X)","±12.9","(X)","±16.3","(X)","±12.4","(X)","±3.7","(X)","±11.0","(X)","±9.6","(X)","±13.0","(X)","±9.3"
"ZCTA5 78704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,236","476","3,975","434","1,194","1,187","1,160","3,098","687","3,785","1,524","2,261","835","393","1,651","1,537","1,446","1,405","971","889","1,404","1,255","4,481","1,369","15,648","942","23,481","446","5,885","2,413","2,358","975","3,527","1,438"
"        Margin of Error","±939","±169","±631","±326","±342","±341","±289","±492","±153","±492","±286","±472","±232","±148","±538","±488","±337","±324","±268","±265","±295","±278","±845","±418","±1,248","±205","±1,542","±160","±858","±434","±375","±214","±686","±422"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.8%","48.3%","5.3%","14.5%","14.4%","14.1%","37.6%","8.3%","46.0%","37.8%","53.7%","(X)","47.1%","(X)","93.1%","(X)","97.2%","(X)","91.6%","(X)","89.4%","(X)","30.6%","(X)","6.0%","(X)","1.9%","(X)","41.0%","(X)","41.3%","(X)","40.8%"
"        Margin of Error","(X)","±2.0","±4.3","±3.7","±3.8","±3.9","±3.3","±4.1","±2.0","±4.1","±6.5","±5.8","(X)","±14.2","(X)","±7.6","(X)","±4.4","(X)","±7.0","(X)","±6.3","(X)","±8.8","(X)","±1.2","(X)","±0.7","(X)","±8.0","(X)","±9.3","(X)","±10.8"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","124","3,353","392","947","1,009","1,005","2,350","537","2,887","1,157","1,730","(X)","104","(X)","1,193","(X)","1,187","(X)","797","(X)","1,067","(X)","938","(X)","756","(X)","322","(X)","1,801","(X)","705","(X)","1,096"
"        Margin of Error","(X)","±108","±583","±322","±230","±323","±284","±448","±147","±467","±277","±435","(X)","±101","(X)","±396","(X)","±305","(X)","±258","(X)","±273","(X)","±375","(X)","±196","(X)","±147","(X)","±413","(X)","±219","(X)","±393"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77.3%","26.1%","84.4%","90.3%","79.3%","85.0%","86.6%","75.9%","78.2%","76.3%","75.9%","76.5%","(X)","26.5%","(X)","77.6%","(X)","84.5%","(X)","89.7%","(X)","85.0%","(X)","68.5%","(X)","80.3%","(X)","72.2%","(X)","74.6%","(X)","72.3%","(X)","76.2%"
"        Margin of Error","±4.5","±16.9","±6.5","±12.8","±17.2","±8.2","±7.1","±5.9","±10.6","±5.5","±8.4","±6.4","(X)","±19.6","(X)","±14.0","(X)","±7.8","(X)","±6.8","(X)","±7.6","(X)","±10.9","(X)","±10.0","(X)","±14.8","(X)","±7.3","(X)","±11.4","(X)","±8.2"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","352","622","42","247","178","155","748","150","898","367","531","(X)","289","(X)","344","(X)","218","(X)","92","(X)","188","(X)","431","(X)","186","(X)","124","(X)","612","(X)","270","(X)","342"
"        Margin of Error","(X)","±114","±280","±39","±252","±102","±79","±196","±77","±215","±128","±147","(X)","±101","(X)","±259","(X)","±118","(X)","±61","(X)","±93","(X)","±152","(X)","±98","(X)","±67","(X)","±177","(X)","±106","(X)","±110"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22.7%","73.9%","15.6%","9.7%","20.7%","15.0%","13.4%","24.1%","21.8%","23.7%","24.1%","23.5%","(X)","73.5%","(X)","22.4%","(X)","15.5%","(X)","10.3%","(X)","15.0%","(X)","31.5%","(X)","19.7%","(X)","27.8%","(X)","25.4%","(X)","27.7%","(X)","23.8%"
"        Margin of Error","±4.5","±16.9","±6.5","±12.8","±17.2","±8.2","±7.1","±5.9","±10.6","±5.5","±8.4","±6.4","(X)","±19.6","(X)","±14.0","(X)","±7.8","(X)","±6.8","(X)","±7.6","(X)","±10.9","(X)","±10.0","(X)","±14.8","(X)","±7.3","(X)","±11.4","(X)","±8.2"
"ZCTA5 78705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,226","47","545","12","116","135","282","23,549","2,085","25,634","11,841","13,793","7","5","175","162","152","143","279","279","10,423","10,389","14,800","13,465","4,534","1,619","2,730","164","25,223","23,740","11,667","10,847","13,556","12,893"
"        Margin of Error","±1,656","±47","±169","±12","±53","±79","±161","±1,614","±384","±1,637","±989","±1,221","±8","±6","±83","±82","±83","±82","±132","±132","±919","±917","±1,122","±1,038","±672","±310","±443","±82","±1,669","±1,608","±1,062","±986","±1,177","±1,153"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0.2%","2.1%","0.0%","0.4%","0.5%","1.1%","89.8%","8.0%","97.7%","97.1%","98.3%","(X)","71.4%","(X)","92.6%","(X)","94.1%","(X)","100.0%","(X)","99.7%","(X)","91.0%","(X)","35.7%","(X)","6.0%","(X)","94.1%","(X)","93.0%","(X)","95.1%"
"        Margin of Error","(X)","±0.2","±0.6","±0.1","±0.2","±0.3","±0.6","±1.6","±1.5","±0.6","±1.2","±0.7","(X)","±60.6","(X)","±12.0","(X)","±10.9","(X)","±14.9","(X)","±0.4","(X)","±2.3","(X)","±6.9","(X)","±3.1","(X)","±1.5","(X)","±2.8","(X)","±2.0"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","30","459","12","108","108","231","20,043","1,788","21,831","10,345","11,486","(X)","0","(X)","142","(X)","116","(X)","214","(X)","8,538","(X)","11,748","(X)","1,464","(X)","98","(X)","20,204","(X)","9,459","(X)","10,745"
"        Margin of Error","(X)","±35","±159","±12","±52","±71","±154","±1,305","±371","±1,306","±891","±1,133","(X)","±30","(X)","±73","(X)","±74","(X)","±124","(X)","±810","(X)","±869","(X)","±306","(X)","±53","(X)","±1,297","(X)","±885","(X)","±1,061"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85.1%","63.8%","84.2%","100.0%","93.1%","80.0%","81.9%","85.1%","85.8%","85.2%","87.4%","83.3%","(X)","0.0%","(X)","87.7%","(X)","81.1%","(X)","76.7%","(X)","82.2%","(X)","87.2%","(X)","90.4%","(X)","59.8%","(X)","85.1%","(X)","87.2%","(X)","83.3%"
"        Margin of Error","±1.9","±39.6","±13.0","±100.0","±10.8","±21.7","±19.8","±2.1","±6.8","±1.9","±2.2","±3.0","(X)","±100.0","(X)","±12.9","(X)","±20.7","(X)","±19.7","(X)","±2.9","(X)","±2.1","(X)","±5.5","(X)","±23.7","(X)","±2.0","(X)","±2.4","(X)","±3.1"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","17","86","0","8","27","51","3,506","297","3,803","1,496","2,307","(X)","5","(X)","20","(X)","27","(X)","65","(X)","1,851","(X)","1,717","(X)","155","(X)","66","(X)","3,536","(X)","1,388","(X)","2,148"
"        Margin of Error","(X)","±21","±77","±30","±13","±31","±56","±612","±144","±626","±299","±444","(X)","±6","(X)","±24","(X)","±31","(X)","±56","(X)","±348","(X)","±344","(X)","±87","(X)","±57","(X)","±592","(X)","±290","(X)","±430"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14.9%","36.2%","15.8%","0.0%","6.9%","20.0%","18.1%","14.9%","14.2%","14.8%","12.6%","16.7%","(X)","100.0%","(X)","12.3%","(X)","18.9%","(X)","23.3%","(X)","17.8%","(X)","12.8%","(X)","9.6%","(X)","40.2%","(X)","14.9%","(X)","12.8%","(X)","16.7%"
"        Margin of Error","±1.9","±39.6","±13.0","±100.0","±10.8","±21.7","±19.8","±2.1","±6.8","±1.9","±2.2","±3.0","(X)","±100.0","(X)","±12.9","(X)","±20.7","(X)","±19.7","(X)","±2.9","(X)","±2.1","(X)","±5.5","(X)","±23.7","(X)","±2.0","(X)","±2.4","(X)","±3.1"
"ZCTA5 78712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","887","0","0","0","0","0","0","861","26","887","368","519","0","0","0","0","0","0","19","19","505","505","337","337","26","26","0","0","842","842","350","350","492","492"
"        Margin of Error","±331","±14","±14","±14","±14","±14","±14","±314","±26","±331","±190","±268","±14","±14","±14","±14","±14","±14","±26","±26","±228","±228","±142","±142","±26","±26","±14","±14","±306","±306","±169","±169","±236","±236"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","97.1%","2.9%","100.0%","100.0%","100.0%","(X)","-","(X)","-","(X)","-","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","-","(X)","100.0%","(X)","100.0%","(X)","100.0%"
"        Margin of Error","(X)","±4.9","±4.9","±4.9","±4.9","±4.9","±4.9","±2.5","±2.5","±4.9","±11.5","±8.3","(X)","**","(X)","**","(X)","**","(X)","±80.1","(X)","±8.5","(X)","±12.5","(X)","±68.4","(X)","**","(X)","±5.2","(X)","±12.0","(X)","±8.7"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","0","0","0","0","0","656","17","673","283","390","(X)","0","(X)","0","(X)","0","(X)","10","(X)","375","(X)","271","(X)","17","(X)","0","(X)","646","(X)","274","(X)","372"
"        Margin of Error","(X)","±14","±14","±14","±14","±14","±14","±251","±26","±268","±170","±193","(X)","±14","(X)","±14","(X)","±14","(X)","±19","(X)","±203","(X)","±129","(X)","±26","(X)","±14","(X)","±252","(X)","±159","(X)","±176"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75.9%","-","-","-","-","-","-","76.2%","65.4%","75.9%","76.9%","75.1%","(X)","-","(X)","-","(X)","-","(X)","52.6%","(X)","74.3%","(X)","80.4%","(X)","65.4%","(X)","-","(X)","76.7%","(X)","78.3%","(X)","75.6%"
"        Margin of Error","±6.5","**","**","**","**","**","**","±7.4","±65.4","±6.5","±16.0","±9.3","(X)","**","(X)","**","(X)","**","(X)","±52.6","(X)","±14.5","(X)","±8.7","(X)","±65.4","(X)","**","(X)","±7.0","(X)","±16.6","(X)","±11.0"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","0","0","0","0","0","205","9","214","85","129","(X)","0","(X)","0","(X)","0","(X)","9","(X)","130","(X)","66","(X)","9","(X)","0","(X)","196","(X)","76","(X)","120"
"        Margin of Error","(X)","±14","±14","±14","±14","±14","±14","±94","±18","±89","±62","±92","(X)","±14","(X)","±14","(X)","±14","(X)","±17","(X)","±76","(X)","±31","(X)","±18","(X)","±14","(X)","±83","(X)","±56","(X)","±84"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24.1%","-","-","-","-","-","-","23.8%","34.6%","24.1%","23.1%","24.9%","(X)","-","(X)","-","(X)","-","(X)","47.4%","(X)","25.7%","(X)","19.6%","(X)","34.6%","(X)","-","(X)","23.3%","(X)","21.7%","(X)","24.4%"
"        Margin of Error","±6.5","**","**","**","**","**","**","±7.4","±65.4","±6.5","±16.0","±9.3","(X)","**","(X)","**","(X)","**","(X)","±52.6","(X)","±14.5","(X)","±8.7","(X)","±65.4","(X)","**","(X)","±7.0","(X)","±16.6","(X)","±11.0"
"ZCTA5 78719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339","34","271","0","90","38","143","34","0","34","8","26","74","0","117","117","85","85","78","78","51","33","85","0","339","0","954","26","136","8","85","8","51","0"
