"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"            Estimate","3,557","2,249","339","307","1,603","","","2,349","780","44","271","0","66","47","855","1,590","3,073","2,503","258","","246","801","","368","633","898","1,658","","1,308","1,867","323","59","","1,533","1,684","281","59","","2,080","1,193","262","22","","154","1,970","1,225","208","","7,387","","2,241","1,316","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±657","±483","±262","±178","±428","","","±507","±351","±56","±158","±33","±67","±47","±246","±421","±640","±615","±153","","±142","±293","","±156","±261","±294","±484","","±429","±439","±170","±64","","±447","±444","±167","±64","","±620","±313","±130","±24","","±101","±508","±343","±121","","±2,719","","±552","±371","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14.1%","21.7%","0.0%","9.8%","28.6%","","","15.0%","10.9%","0.0%","11.8%","-","28.8%","31.9%","20.9%","13.0%","10.1%","6.9%","22.5%","","13.8%","17.2%","","39.7%","21.0%","6.1%","10.2%","","1.1%","20.9%","30.7%","0.0%","","5.7%","20.2%","26.7%","0.0%","","8.3%","22.0%","26.0%","0.0%","","67.5%","14.7%","8.9%","0.0%","","(X)","","13.1%","16.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±6.3","±9.7","±12.4","±12.2","±13.0","","","±6.7","±14.3","±52.6","±17.1","**","±45.9","±50.2","±12.8","±7.7","±4.5","±4.7","±27.3","","±16.0","±10.0","","±24.0","±14.4","±5.1","±8.4","","±2.0","±10.3","±20.6","±45.4","","±5.2","±10.2","±23.5","±45.4","","±4.8","±13.3","±21.1","±74.4","","±32.6","±5.9","±11.8","±19.3","","(X)","","±7.8","±8.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","253","52","0","3","49","","","252","0","0","0","0","1","0","8","245","195","151","80","","0","65","","6","71","90","86","","201","52","0","0","","211","42","0","0","","181","64","8","0","","34","30","181","8","","N","","228","25","","0","3","4","4","4","19","30","133"
"            Margin of Error","±101","±48","±14","±6","±48","","","±101","±14","±14","±14","±14","±2","±14","±12","±101","±101","±96","±55","","±14","±52","","±10","±68","±60","±68","","±96","±48","±14","±14","","±95","±46","±14","±14","","±94","±49","±12","±14","","±35","±28","±101","±12","","N","","±102","±18","","±14","±6","±6","±6","±6","±17","±23","±75"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1.2%","5.8%","-","100.0%","0.0%","","","1.2%","-","-","-","-","0.0%","-","0.0%","1.2%","1.5%","2.0%","0.0%","","-","0.0%","","0.0%","0.0%","3.3%","0.0%","","0.0%","5.8%","-","-","","1.4%","0.0%","-","-","","0.0%","0.0%","37.5%","-","","0.0%","0.0%","0.0%","37.5%","","(X)","","0.0%","12.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.3","±13.0","**","±100.0","±49.9","","","±2.3","**","**","**","**","±100.0","**","±100.0","±2.4","±3.1","±4.3","±39.0","","**","±43.3","","±100.0","±41.4","±7.1","±37.6","","±19.9","±13.0","**","**","","±2.8","±53.8","**","**","","±21.8","±43.6","±62.5","**","","±59.8","±63.7","±21.8","±62.5","","(X)","","±17.8","±22.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","235","49","0","0","49","","","234","0","0","0","0","1","0","8","227","192","148","65","","0","65","","6","71","72","86","","186","49","0","0","","193","42","0","0","","181","49","5","0","","34","15","181","5","","N","","213","22","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±102","±48","±14","±14","±48","","","±101","±14","±14","±14","±14","±2","±14","±12","±102","±101","±96","±52","","±14","±52","","±10","±68","±57","±68","","±94","±48","±14","±14","","±93","±46","±14","±14","","±94","±48","±10","±14","","±35","±16","±101","±10","","N","","±103","±17","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","0.0%","0.0%","-","-","0.0%","","","0.0%","-","-","-","-","0.0%","-","0.0%","0.0%","0.0%","0.0%","0.0%","","-","0.0%","","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","-","-","","0.0%","0.0%","-","-","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","0.0%","","(X)","","0.0%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±17.3","±49.9","**","**","±49.9","","","±17.4","**","**","**","**","±100.0","**","±100.0","±17.9","±20.7","±25.8","±43.3","","**","±43.3","","±100.0","±41.4","±41.1","±37.6","","±21.3","±49.9","**","**","","±20.6","±53.8","**","**","","±21.8","±49.9","±100.0","**","","±59.8","±90.1","±21.8","±100.0","","(X)","","±18.9","±74.4","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18","3","0","3","0","","","18","0","0","0","0","0","0","0","18","3","3","15","","0","0","","0","0","18","0","","15","3","0","0","","18","0","0","0","","0","15","3","0","","0","15","0","3","","N","","15","3","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±24","±6","±14","±6","±14","","","±24","±14","±14","±14","±14","±14","±14","±14","±24","±6","±6","±23","","±14","±14","","±14","±14","±24","±14","","±23","±6","±14","±14","","±24","±14","±14","±14","","±14","±23","±6","±14","","±14","±23","±14","±6","","N","","±23","±6","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.7%","100.0%","-","100.0%","-","","","16.7%","-","-","-","-","-","-","-","16.7%","100.0%","100.0%","0.0%","","-","-","","-","-","16.7%","-","","0.0%","100.0%","-","-","","16.7%","-","-","-","","-","0.0%","100.0%","-","","-","0.0%","-","100.0%","","(X)","","0.0%","100.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±42.4","±100.0","**","±100.0","**","","","±42.4","**","**","**","**","**","**","**","±42.4","±100.0","±100.0","±90.1","","**","**","","**","**","±42.4","**","","±90.1","±100.0","**","**","","±42.4","**","**","**","","**","±90.1","±100.0","**","","**","±90.1","**","±100.0","","(X)","","±90.1","±100.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14,620","8,014","1,276","1,107","5,631","","","10,772","1,740","10","743","0","361","994","4,454","7,439","11,891","9,317","1,507","","669","2,258","","1,060","2,597","5,644","5,319","","6,606","6,878","1,128","8","","7,265","6,345","1,002","8","","5,562","7,272","1,578","208","","915","4,183","7,057","2,465","","N","","8,814","5,806","","334","1,387","1,620","2,118","2,786","4,975","6,939","8,968"
"            Margin of Error","±865","±570","±257","±265","±590","","","±704","±423","±16","±204","±33","±180","±358","±571","±713","±852","±840","±356","","±185","±441","","±300","±370","±677","±653","","±778","±572","±276","±31","","±774","±553","±252","±31","","±711","±588","±319","±113","","±233","±542","±782","±418","","N","","±829","±653","","±130","±336","±356","±395","±445","±541","±596","±710"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.2%","9.3%","4.9%","25.4%","7.2%","","","4.8%","9.4%","0.0%","12.0%","-","15.0%","8.8%","8.6%","3.3%","4.7%","2.4%","2.3%","","13.9%","3.6%","","14.0%","12.7%","5.2%","2.5%","","2.4%","6.5%","26.6%","0.0%","","2.9%","6.4%","28.8%","0.0%","","3.3%","7.3%","10.6%","12.0%","","26.7%","10.1%","2.6%","2.3%","","(X)","","2.5%","11.9%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1.8","±2.7","±4.5","±11.8","±2.6","","","±1.6","±6.6","±100.0","±9.7","**","±22.5","±6.8","±3.5","±1.5","±1.6","±1.6","±2.3","","±8.7","±2.6","","±8.1","±5.9","±2.5","±1.9","","±1.4","±2.6","±10.4","±100.0","","±1.4","±2.7","±11.3","±100.0","","±1.8","±3.0","±4.3","±17.6","","±12.0","±3.9","±1.6","±2.5","","(X)","","±1.1","±3.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10,902","5,843","1,108","848","3,887","","","8,408","827","10","634","0","230","793","3,250","6,019","8,711","7,008","1,263","","367","1,777","","619","1,573","3,990","4,720","","5,059","5,200","635","8","","5,485","4,827","582","8","","3,691","5,751","1,277","183","","631","2,655","5,619","1,997","","N","","7,444","3,458","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±891","±504","±225","±248","±510","","","±816","±235","±16","±201","±33","±116","±358","±502","±713","±835","±799","±333","","±144","±402","","±207","±359","±567","±628","","±751","±522","±183","±31","","±739","±490","±170","±31","","±631","±558","±287","±102","","±201","±428","±688","±396","","N","","±744","±582","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.4%","3.3%","3.2%","11.4%","1.6%","","","1.5%","1.7%","0.0%","8.7%","-","23.5%","1.6%","4.2%","0.9%","2.1%","0.8%","1.3%","","4.6%","2.4%","","3.1%","6.9%","2.1%","1.0%","","1.3%","2.8%","8.2%","0.0%","","1.6%","2.5%","8.9%","0.0%","","0.8%","2.8%","5.2%","0.0%","","3.5%","5.4%","1.1%","1.7%","","(X)","","0.6%","6.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1.5","±2.5","±3.8","±11.5","±1.5","","","±1.0","±2.9","±100.0","±8.7","**","±31.2","±2.6","±3.8","±0.7","±1.6","±1.2","±1.6","","±7.6","±2.1","","±3.7","±6.8","±1.8","±1.1","","±1.2","±2.5","±7.1","±100.0","","±1.3","±2.5","±7.8","±100.0","","±0.9","±2.4","±3.8","±21.6","","±3.7","±4.2","±1.1","±2.5","","(X)","","±0.5","±4.2","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,047","1,837","110","202","1,525","","","1,896","816","0","12","0","131","192","1,080","1,067","2,542","1,785","211","","277","401","","413","769","1,388","477","","1,210","1,401","436","0","","1,410","1,274","363","0","","1,477","1,244","301","25","","284","1,185","1,175","403","","N","","1,054","1,993","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±533","±385","±84","±98","±394","","","±418","±418","±33","±19","±33","±133","±105","±355","±272","±533","±462","±107","","±121","±209","","±231","±243","±430","±187","","±411","±337","±191","±33","","±458","±347","±173","±33","","±422","±338","±177","±38","","±131","±305","±406","±256","","N","","±367","±407","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18.3%","25.1%","23.6%","62.9%","20.3%","","","20.6%","11.4%","-","0.0%","-","0.0%","38.5%","23.1%","17.8%","11.2%","6.1%","8.5%","","27.4%","9.5%","","31.2%","21.2%","15.2%","11.5%","","7.9%","19.3%","43.8%","-","","8.8%","19.9%","49.6%","-","","8.1%","25.1%","33.9%","100.0%","","78.2%","15.9%","10.6%","5.7%","","(X)","","16.7%","19.2%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±5.9","±7.6","±33.7","±30.7","±8.3","","","±7.1","±10.4","**","±100.0","**","±28.3","±28.0","±11.4","±8.6","±4.7","±4.8","±13.6","","±19.4","±12.2","","±20.6","±12.3","±9.6","±10.9","","±6.8","±7.7","±22.1","**","","±6.6","±8.7","±26.3","**","","±6.1","±10.0","±21.5","±69.8","","±17.2","±6.8","±7.8","±9.1","","(X)","","±8.9","±7.7","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,383","1,780","479","236","1,065","","","3,665","272","5","355","0","3","83","315","3,461","3,317","2,554","1,099","","70","1,443","","38","230","817","3,298","","2,603","1,514","266","0","","2,720","1,409","254","0","","2,328","1,654","401","0","","702","1,244","2,172","265","","10,938","","4,175","208","","49","104","137","188","224","479","749","1,165"
"            Margin of Error","±419","±204","±187","±105","±223","","","±281","±292","±14","±135","±22","±5","±81","±135","±271","±423","±393","±201","","±51","±331","","±41","±103","±202","±410","","±403","±201","±99","±22","","±405","±200","±96","±22","","±414","±269","±126","±22","","±151","±246","±394","±105","","±3,803","","±419","±77","","±46","±60","±63","±80","±85","±143","±161","±216"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1.7%","1.2%","0.0%","5.9%","0.7%","","","1.9%","0.0%","0.0%","0.0%","-","100.0%","0.0%","1.0%","2.0%","0.6%","0.0%","1.5%","","20.0%","2.4%","","34.2%","0.0%","1.7%","1.4%","","2.0%","1.2%","1.1%","-","","1.9%","1.3%","1.2%","-","","1.1%","2.7%","0.7%","-","","7.4%","1.4%","0.1%","0.0%","","(X)","","1.4%","7.7%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1.2","±1.1","±9.0","±8.3","±0.7","","","±1.4","±15.2","±100.0","±11.9","**","±100.0","±38.3","±1.6","±1.5","±0.6","±1.7","±2.1","","±29.9","±2.8","","±51.1","±17.7","±2.5","±1.2","","±1.8","±1.3","±1.8","**","","±1.7","±1.4","±1.9","**","","±1.3","±2.6","±1.2","**","","±6.6","±1.6","±0.2","±15.6","","(X)","","±1.1","±9.7","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,167","1,657","479","207","971","","","3,466","272","5","355","0","0","69","294","3,266","3,125","2,393","1,038","","53","1,384","","35","212","700","3,220","","2,510","1,427","230","0","","2,627","1,322","218","0","","2,214","1,557","396","0","","699","1,115","2,094","259","","11,608","","3,984","183","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
